PID,NAME,RA,DEC,EPOC
SPLUS,SPLUS-b092,17:33:49.0909,-30:50:49.656,2000.
SPLUS,SPLUS-b093,17:40:21.8182,-30:50:49.656,2000.
SPLUS,SPLUS-b094,17:46:54.5455,-30:50:49.656,2000.
SPLUS,SPLUS-b095,17:53:27.2727,-30:50:49.656,2000.
SPLUS,SPLUS-b096,18:00:00,-30:50:49.656,2000.
SPLUS,SPLUS-b098,18:13:05.4545,-30:50:49.656,2000.
SPLUS,SPLUS-b100,18:26:10.9091,-30:50:49.656,2000.
SPLUS,SPLUS-b101,18:32:43.6364,-30:50:49.656,2000.
SPLUS,SPLUS-b102,18:39:16.3636,-30:50:49.656,2000.
SPLUS,SPLUS-b103,18:45:49.0909,-30:50:49.656,2000.
SPLUS,SPLUS-b104,18:52:21.8182,-30:50:49.656,2000.
SPLUS,SPLUS-b105,18:58:54.5455,-30:50:49.656,2000.
SPLUS,SPLUS-b106,17:08:34.2857,-32:13:44.7973,2000.
SPLUS,SPLUS-b107,17:15:12.4424,-32:13:44.7973,2000.
SPLUS,SPLUS-b108,17:21:50.5991,-32:13:44.7973,2000.
SPLUS,SPLUS-b109,17:28:28.7558,-32:13:44.7973,2000.
SPLUS,SPLUS-b110,17:35:06.9124,-32:13:44.7973,2000.
SPLUS,SPLUS-b111,17:41:45.0691,-32:13:44.7973,2000.
SPLUS,SPLUS-b112,17:48:23.2258,-32:13:44.7973,2000.
SPLUS,SPLUS-b113,17:55:01.3825,-32:13:44.7973,2000.
SPLUS,SPLUS-b114,18:01:39.5392,-32:13:44.7973,2000.
SPLUS,SPLUS-b115,18:08:17.6959,-32:13:44.7973,2000.
SPLUS,SPLUS-b116,18:14:55.8525,-32:13:44.7973,2000.
SPLUS,SPLUS-b117,18:21:34.0092,-32:13:44.7973,2000.
SPLUS,SPLUS-b118,18:28:12.1659,-32:13:44.7973,2000.
SPLUS,SPLUS-b119,18:34:50.3226,-32:13:44.7973,2000.
SPLUS,SPLUS-b120,18:41:28.4793,-32:13:44.7973,2000.
SPLUS,SPLUS-b121,18:48:06.6359,-32:13:44.7973,2000.
SPLUS,SPLUS-b122,18:54:44.7926,-32:13:44.7973,2000.
SPLUS,SPLUS-b123,17:07:36.338,-33:36:32.8473,2000.
SPLUS,SPLUS-b124,17:14:21.9718,-33:36:32.8473,2000.
SPLUS,SPLUS-b125,17:21:07.6056,-33:36:32.8473,2000.
SPLUS,SPLUS-b126,17:27:53.2394,-33:36:32.8473,2000.
SPLUS,SPLUS-b127,17:34:38.8732,-33:36:32.8473,2000.
SPLUS,SPLUS-b128,17:41:24.507,-33:36:32.8473,2000.
SPLUS,SPLUS-b129,17:48:10.1408,-33:36:32.8473,2000.
SPLUS,SPLUS-b130,17:54:55.7746,-33:36:32.8473,2000.
SPLUS,SPLUS-b131,18:01:41.4085,-33:36:32.8473,2000.
SPLUS,SPLUS-b132,18:08:27.0423,-33:36:32.8473,2000.
SPLUS,SPLUS-b133,18:15:12.6761,-33:36:32.8473,2000.
SPLUS,SPLUS-b135,18:28:43.9437,-33:36:32.8473,2000.
SPLUS,SPLUS-b136,18:35:29.5775,-33:36:32.8473,2000.
SPLUS,SPLUS-b137,18:42:15.2113,-33:36:32.8473,2000.
SPLUS,SPLUS-b138,18:49:00.8451,-33:36:32.8473,2000.
SPLUS,SPLUS-b139,17:08:34.2857,-34:59:12.3852,2000.
SPLUS,SPLUS-b140,17:15:25.7143,-34:59:12.3852,2000.
SPLUS,SPLUS-b141,17:22:17.1429,-34:59:12.3852,2000.
SPLUS,SPLUS-b142,17:29:08.5714,-34:59:12.3852,2000.
SPLUS,SPLUS-b143,17:36:00,-34:59:12.3852,2000.
SPLUS,SPLUS-b144,17:42:51.4286,-34:59:12.3852,2000.
SPLUS,SPLUS-b145,17:49:42.8571,-34:59:12.3852,2000.
SPLUS,SPLUS-b146,17:56:34.2857,-34:59:12.3852,2000.
SPLUS,SPLUS-b147,18:03:25.7143,-34:59:12.3852,2000.
SPLUS,SPLUS-b148,18:10:17.1429,-34:59:12.3852,2000.
SPLUS,SPLUS-b149,18:17:08.5714,-34:59:12.3852,2000.
SPLUS,SPLUS-b151,18:30:51.4286,-34:59:12.3852,2000.
SPLUS,SPLUS-b152,18:37:42.8571,-34:59:12.3852,2000.
SPLUS,SPLUS-b153,18:44:34.2857,-34:59:12.3852,2000.
SPLUS,SPLUS-b154,17:16:31.3043,-36:21:44.7613,2000.
SPLUS,SPLUS-b155,17:23:28.6957,-36:21:44.7613,2000.
SPLUS,SPLUS-b158,17:44:20.8696,-36:21:44.7613,2000.
SPLUS,SPLUS-b160,17:58:15.6522,-36:21:44.7613,2000.
SPLUS,SPLUS-b161,18:05:13.0435,-36:21:44.7613,2000.
SPLUS,SPLUS-b162,18:12:10.4348,-36:21:44.7613,2000.
SPLUS,SPLUS-b164,18:26:05.2174,-36:21:44.7613,2000.
SPLUS,SPLUS-b165,18:33:02.6087,-36:21:44.7613,2000.
SPLUS,SPLUS-b166,18:40:00,-36:21:44.7613,2000.
SPLUS,SPLUS-b167,18:46:57.3913,-36:21:44.7613,2000.
SPLUS,SPLUS-b168,17:22:45.5172,-37:44:10.0038,2000.
SPLUS,SPLUS-b171,17:44:02.3645,-37:44:10.0038,2000.
SPLUS,SPLUS-b173,17:58:13.5961,-37:44:10.0038,2000.
SPLUS,SPLUS-b174,18:05:19.2118,-37:44:10.0038,2000.
SPLUS,SPLUS-b175,18:12:24.8276,-37:44:10.0038,2000.
SPLUS,SPLUS-b176,18:19:30.4433,-37:44:10.0038,2000.
SPLUS,SPLUS-b177,18:26:36.0591,-37:44:10.0038,2000.
SPLUS,SPLUS-b178,18:33:41.6749,-37:44:10.0038,2000.
SPLUS,SPLUS-b179,18:40:47.2906,-37:44:10.0038,2000.
SPLUS,SPLUS-b180,17:36:28.9447,-39:06:26.4392,2000.
SPLUS,SPLUS-b182,17:50:57.2864,-39:06:26.4392,2000.
SPLUS,SPLUS-b183,17:58:11.4573,-39:06:26.4392,2000.
SPLUS,SPLUS-b184,18:05:25.6281,-39:06:26.4392,2000.
SPLUS,SPLUS-b185,18:12:39.799,-39:06:26.4392,2000.
SPLUS,SPLUS-b186,18:19:53.9698,-39:06:26.4392,2000.
SPLUS,SPLUS-b187,18:27:08.1407,-39:06:26.4392,2000.
SPLUS,SPLUS-b188,18:34:22.3116,-39:06:26.4392,2000.
SPLUS,SPLUS-b189,18:41:36.4824,-39:06:26.4392,2000.
SPLUS,SPLUS-b191,17:58:09.2308,-40:28:33.9089,2000.
SPLUS,SPLUS-b192,18:05:32.3077,-40:28:33.9089,2000.
SPLUS,SPLUS-b193,18:12:55.3846,-40:28:33.9089,2000.
SPLUS,SPLUS-b194,18:20:18.4615,-40:28:33.9089,2000.
SPLUS,SPLUS-b195,18:27:41.5385,-40:28:33.9089,2000.
SPLUS,SPLUS-b196,18:35:04.6154,-40:28:33.9089,2000.
SPLUS,SPLUS-b197,17:58:06.911,-41:50:32.2588,2000.
SPLUS,SPLUS-b198,18:05:39.267,-41:50:32.2588,2000.
SPLUS,SPLUS-b199,18:13:11.623,-41:50:32.2588,2000.
SPLUS,SPLUS-b200,18:20:43.9791,-41:50:32.2588,2000.
SPLUS,SPLUS-b201,18:28:16.3351,-41:50:32.2588,2000.
SPLUS,SPLUS-b202,18:13:28.5561,-43:12:21.3398,2000.
SPLUS,SPLUS-b203,18:21:10.5882,-43:12:21.3398,2000.
SPLUS,SPLUS-b204,18:28:52.6203,-43:12:21.3398,2000.
SPLUS,SPLUS-d001,07:22:12.2835,-04:15:10.3926,2000.
SPLUS,SPLUS-d002,07:12:34.1502,-05:40:02.5568,2000.
SPLUS,SPLUS-d003,07:18:15.6522,-05:40:02.5568,2000.
SPLUS,SPLUS-d004,07:23:57.1542,-05:40:02.5568,2000.
SPLUS,SPLUS-d005,07:02:51.4286,-07:04:48.9493,2000.
SPLUS,SPLUS-d006,07:08:34.2857,-07:04:48.9493,2000.
SPLUS,SPLUS-d007,07:14:17.1429,-07:04:48.9493,2000.
SPLUS,SPLUS-d008,07:20:00,-07:04:48.9493,2000.
SPLUS,SPLUS-d009,07:25:42.8571,-07:04:48.9493,2000.
SPLUS,SPLUS-d010,06:51:25.7143,-08:29:29.548,2000.
SPLUS,SPLUS-d011,06:57:08.5714,-08:29:29.548,2000.
SPLUS,SPLUS-d012,07:02:51.4286,-08:29:29.548,2000.
SPLUS,SPLUS-d013,07:08:34.2857,-08:29:29.548,2000.
SPLUS,SPLUS-d014,07:14:17.1429,-08:29:29.548,2000.
SPLUS,SPLUS-d015,07:20:00,-08:29:29.548,2000.
SPLUS,SPLUS-d016,07:25:42.8571,-08:29:29.548,2000.
SPLUS,SPLUS-d017,07:31:25.7143,-08:29:29.548,2000.
SPLUS,SPLUS-d018,06:35:51.3944,-09:54:04.639,2000.
SPLUS,SPLUS-d019,06:41:35.6175,-09:54:04.639,2000.
SPLUS,SPLUS-d020,06:47:19.8406,-09:54:04.639,2000.
SPLUS,SPLUS-d021,06:53:04.0637,-09:54:04.639,2000.
SPLUS,SPLUS-d022,06:58:48.2869,-09:54:04.639,2000.
SPLUS,SPLUS-d023,07:04:32.51,-09:54:04.639,2000.
SPLUS,SPLUS-d024,07:10:16.7331,-09:54:04.639,2000.
SPLUS,SPLUS-d025,07:16:00.9562,-09:54:04.639,2000.
SPLUS,SPLUS-d026,07:21:45.1793,-09:54:04.639,2000.
SPLUS,SPLUS-d027,07:27:29.4024,-09:54:04.639,2000.
SPLUS,SPLUS-d028,07:33:13.6255,-09:54:04.639,2000.
SPLUS,SPLUS-d029,06:25:55.2,-11:18:33.9798,2000.
SPLUS,SPLUS-d030,06:31:40.8,-11:18:33.9798,2000.
SPLUS,SPLUS-d031,06:37:26.4,-11:18:33.9798,2000.
SPLUS,SPLUS-d032,06:43:12,-11:18:33.9798,2000.
SPLUS,SPLUS-d033,06:48:57.6,-11:18:33.9798,2000.
SPLUS,SPLUS-d034,06:54:43.2,-11:18:33.9798,2000.
SPLUS,SPLUS-d035,07:00:28.8,-11:18:33.9798,2000.
SPLUS,SPLUS-d036,07:06:14.4,-11:18:33.9798,2000.
SPLUS,SPLUS-d037,07:12:00,-11:18:33.9798,2000.
SPLUS,SPLUS-d038,07:17:45.6,-11:18:33.9798,2000.
SPLUS,SPLUS-d039,07:23:31.2,-11:18:33.9798,2000.
SPLUS,SPLUS-d040,07:29:16.8,-11:18:33.9798,2000.
SPLUS,SPLUS-d041,07:35:02.4,-11:18:33.9798,2000.
SPLUS,SPLUS-d042,06:17:25.1613,-12:42:57.5892,2000.
SPLUS,SPLUS-d043,06:23:13.5484,-12:42:57.5892,2000.
SPLUS,SPLUS-d044,06:29:01.9355,-12:42:57.5892,2000.
SPLUS,SPLUS-d045,06:34:50.3226,-12:42:57.5892,2000.
SPLUS,SPLUS-d046,06:40:38.7097,-12:42:57.5892,2000.
SPLUS,SPLUS-d047,06:46:27.0968,-12:42:57.5892,2000.
SPLUS,SPLUS-d048,06:52:15.4839,-12:42:57.5892,2000.
SPLUS,SPLUS-d049,06:58:03.871,-12:42:57.5892,2000.
SPLUS,SPLUS-d050,07:03:52.2581,-12:42:57.5892,2000.
SPLUS,SPLUS-d051,07:09:40.6452,-12:42:57.5892,2000.
SPLUS,SPLUS-d052,07:15:29.0323,-12:42:57.5892,2000.
SPLUS,SPLUS-d053,07:21:17.4194,-12:42:57.5892,2000.
SPLUS,SPLUS-d054,07:27:05.8065,-12:42:57.5892,2000.
SPLUS,SPLUS-d055,07:32:54.1935,-12:42:57.5892,2000.
SPLUS,SPLUS-d056,07:38:42.5806,-12:42:57.5892,2000.
SPLUS,SPLUS-d057,06:13:07.0445,-14:07:15.0631,2000.
SPLUS,SPLUS-d058,06:18:56.8421,-14:07:15.0631,2000.
SPLUS,SPLUS-d059,06:24:46.6397,-14:07:15.0631,2000.
SPLUS,SPLUS-d060,06:30:36.4372,-14:07:15.0631,2000.
SPLUS,SPLUS-d061,06:36:26.2348,-14:07:15.0631,2000.
SPLUS,SPLUS-d062,06:42:16.0324,-14:07:15.0631,2000.
SPLUS,SPLUS-d063,06:48:05.83,-14:07:15.0631,2000.
SPLUS,SPLUS-d064,06:53:55.6275,-14:07:15.0631,2000.
SPLUS,SPLUS-d065,06:59:45.4251,-14:07:15.0631,2000.
SPLUS,SPLUS-d066,07:05:35.2227,-14:07:15.0631,2000.
SPLUS,SPLUS-d067,07:11:25.0202,-14:07:15.0631,2000.
SPLUS,SPLUS-d068,07:17:14.8178,-14:07:15.0631,2000.
SPLUS,SPLUS-d069,07:23:04.6154,-14:07:15.0631,2000.
SPLUS,SPLUS-d070,07:28:54.413,-14:07:15.0631,2000.
SPLUS,SPLUS-d071,07:34:44.2105,-14:07:15.0631,2000.
SPLUS,SPLUS-d072,07:40:34.0081,-14:07:15.0631,2000.
SPLUS,SPLUS-d073,06:20:29.2683,-15:31:26.8376,2000.
SPLUS,SPLUS-d074,06:26:20.4878,-15:31:26.8376,2000.
SPLUS,SPLUS-d075,06:32:11.7073,-15:31:26.8376,2000.
SPLUS,SPLUS-d076,06:38:02.9268,-15:31:26.8376,2000.
SPLUS,SPLUS-d078,06:49:45.3659,-15:31:26.8376,2000.
SPLUS,SPLUS-d079,06:55:36.5854,-15:31:26.8376,2000.
SPLUS,SPLUS-d080,07:01:27.8049,-15:31:26.8376,2000.
SPLUS,SPLUS-d081,07:07:19.0244,-15:31:26.8376,2000.
SPLUS,SPLUS-d082,07:13:10.2439,-15:31:26.8376,2000.
SPLUS,SPLUS-d083,07:19:01.4634,-15:31:26.8376,2000.
SPLUS,SPLUS-d084,07:24:52.6829,-15:31:26.8376,2000.
SPLUS,SPLUS-d085,07:30:43.9024,-15:31:26.8376,2000.
SPLUS,SPLUS-d086,07:36:35.122,-15:31:26.8376,2000.
SPLUS,SPLUS-d087,07:42:26.3415,-15:31:26.8376,2000.
SPLUS,SPLUS-d088,06:17:42.2951,-16:55:32.9733,2000.
SPLUS,SPLUS-d090,06:29:30.4918,-16:55:32.9733,2000.
SPLUS,SPLUS-d091,06:35:24.5902,-16:55:32.9733,2000.
SPLUS,SPLUS-d094,06:53:06.8852,-16:55:32.9733,2000.
SPLUS,SPLUS-d095,06:59:00.9836,-16:55:32.9733,2000.
SPLUS,SPLUS-d096,07:04:55.082,-16:55:32.9733,2000.
SPLUS,SPLUS-d097,07:10:49.1803,-16:55:32.9733,2000.
SPLUS,SPLUS-d098,07:16:43.2787,-16:55:32.9733,2000.
SPLUS,SPLUS-d099,07:22:37.377,-16:55:32.9733,2000.
SPLUS,SPLUS-d100,07:28:31.4754,-16:55:32.9733,2000.
SPLUS,SPLUS-d101,07:34:25.5738,-16:55:32.9733,2000.
SPLUS,SPLUS-d102,07:40:19.6721,-16:55:32.9733,2000.
SPLUS,SPLUS-d103,07:46:13.7705,-16:55:32.9733,2000.
SPLUS,SPLUS-d106,06:32:43.6364,-18:19:32.9579,2000.
SPLUS,SPLUS-d107,06:38:40.6612,-18:19:32.9579,2000.
SPLUS,SPLUS-d108,06:44:37.686,-18:19:32.9579,2000.
SPLUS,SPLUS-d109,06:50:34.7107,-18:19:32.9579,2000.
SPLUS,SPLUS-d110,06:56:31.7355,-18:19:32.9579,2000.
SPLUS,SPLUS-d111,07:02:28.7603,-18:19:32.9579,2000.
SPLUS,SPLUS-d112,07:08:25.7851,-18:19:32.9579,2000.
SPLUS,SPLUS-d113,07:14:22.8099,-18:19:32.9579,2000.
SPLUS,SPLUS-d114,07:20:19.8347,-18:19:32.9579,2000.
SPLUS,SPLUS-d115,07:26:16.8595,-18:19:32.9579,2000.
SPLUS,SPLUS-d116,07:32:13.8843,-18:19:32.9579,2000.
SPLUS,SPLUS-d117,07:38:10.9091,-18:19:32.9579,2000.
SPLUS,SPLUS-d118,07:44:07.9339,-18:19:32.9579,2000.
SPLUS,SPLUS-d119,07:50:04.9587,-18:19:32.9579,2000.
SPLUS,SPLUS-d120,06:24:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d121,06:30:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d123,06:42:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d124,06:48:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d125,06:54:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d126,07:00:00,-19:43:26.7769,2000.
